Accession,Release_Date,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MW596180,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2021-01-09
MW596183,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29874,GenBank,complete,,USA: Washington,WA,Homo sapiens,oronasopharynx,2021-01-09
MW596185,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29871,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-09
MW596187,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29824,GenBank,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2021-01-09
MW596189,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29856,GenBank,complete,,USA: Kentucky,KY,Homo sapiens,oronasopharynx,2021-01-09
MW596191,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29855,GenBank,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-01-09
MW596193,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29879,GenBank,complete,,USA: Tennessee,TN,Homo sapiens,oronasopharynx,2021-01-07
MW596194,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29825,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-09
MW596195,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29842,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-09
MW596196,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29881,GenBank,complete,,USA: Wisconsin,WI,Homo sapiens,oronasopharynx,2021-01-09
MW596198,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29861,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-09
MW596200,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29880,GenBank,complete,,USA: Alabama,AL,Homo sapiens,oronasopharynx,2021-01-09
MW596201,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29873,GenBank,complete,,USA: Kansas,KS,Homo sapiens,oronasopharynx,2021-01-07
MW596202,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29882,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-09
MW596203,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29854,GenBank,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2021-01-09
MW596205,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29857,GenBank,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2021-01-09
MW596208,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29828,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-09
MW596210,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29885,GenBank,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2021-01-09
MW596212,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29875,GenBank,complete,,USA: Oregon,OR,Homo sapiens,oronasopharynx,2021-01-10
MW596213,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29851,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-09
MW596214,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29854,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-08
MW596215,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29868,GenBank,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-01-09
MW596216,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29850,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-07
MW596220,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29867,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-10
MW596222,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29856,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-10
MW596223,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29870,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-09
MW596224,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29854,GenBank,complete,,USA: Louisiana,LA,Homo sapiens,oronasopharynx,2021-01-08
MW596225,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29874,GenBank,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2021-01-09
MW596226,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29868,GenBank,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2021-01-09
MW596227,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29856,GenBank,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-01-09
MW596228,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29851,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-09
MW596229,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29850,GenBank,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-01-09
MW596230,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29854,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-09
MW596231,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29851,GenBank,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-01-09
MW596232,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29862,GenBank,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-01-11
MW596234,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29869,GenBank,complete,,USA: Louisiana,LA,Homo sapiens,oronasopharynx,2021-01-09
MW596235,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29871,GenBank,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2021-01-08
MW596237,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Ahmedabad,,Homo sapiens,,2020-12-24
MW596415,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29782,GenBank,complete,,India: Vadodara,,Homo sapiens,,2020-12-25
MW598405,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29884,GenBank,complete,,Ghana,,Homo sapiens,,2021-01-10
MW598406,2021-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,,29903,GenBank,complete,,Ghana,,Homo sapiens,,2021-01-10
